"id"	"标题"	"链接"
"1"	"北京市国家现代农业示范区"	"http://www.bjnw.gov.cn/"
"2"	"天津市国家现代农业示范区"	"http://www.tjaci.gov.cn/"
"3"	"河北省玉田县国家现代农业示范区"	"http://www.ytxdny.com/"
"4"	"河北省定州市国家现代农业示范区"	"http://www.dzs.gov.cn/zfwz/index.htm"
"5"	"河北省肃宁县国家现代农业示范区"	"http://www.snxnyj.com/"
"6"	"河北省武安市国家现代农业示范区"	"http://www.wuan.gov.cn/first/Default.aspx"
"7"	"河北省武强县国家现代农业示范区"	"http://www.wuqiang.gov.cn/"
"8"	"河北省威县国家现代农业示范区"	"http://www.atpark.gov.cn/"
"9"	"河北省永清县国家现代农业示范区"	"http://www.lfyq.heagri.gov.cn/"
"10"	"河北省围场县国家现代农业示范区"	"http://www.cdwc.heagri.gov.cn/"
"11"	"河北省张家口市塞北管理区国家现代农业示范区"	"http://www.zjksb.gov.cn/"
"12"	"河北省石家庄市国家现代农业示范区"	"http://www.sjzny.gov.cn/"
"13"	"山西省运城市盐湖区国家现代农业示范区"	"http://www.0359.gov.cn/"
"14"	"山西省大同市南郊区国家现代农业示范区"	"http://www.sxdt-agri.gov.cn/"
"15"	"山西省定襄县国家现代农业示范区"	"http://www.dxxzf.gov.cn/"
"16"	"山西省高平市国家现代农业示范区"	"http://www.gpny.gov.cn/"
"17"	"山西省曲沃县国家现代农业示范区"	"http://www.quwo.gov.cn/"
"18"	"山西省长治市国家现代农业示范区"	"http://www.czlsnw.gov.cn/"
"19"	"内蒙古自治区扎赉特旗国家现代农业示范区"	"http://www.zltq.gov.cn/"
"20"	"内蒙古自治区西乌珠穆沁旗国家现代农业示范区"	"http://www.xwq.gov.cn/"
"21"	"内蒙古自治区开鲁县国家现代农业示范区"	"http://kailu.gov.cn/kldzxxw/sy.aspx"
"22"	"内蒙古自治区赤峰市松山区国家现代农业示范区"	"http://www.cfss.gov.cn/"
"23"	"内蒙古自治区巴彦淖尔市临河区国家现代农业示范区"	"http://www.linhe.gov.cn/main/"
"24"	"内蒙古自治区阿荣旗国家现代农业示范区"	"http://www.arq.gov.cn/"
"25"	"内蒙古达拉特旗国家现代农业示范区"	"http://www.dlt.gov.cn/"
"26"	"内蒙古自治区土默特左旗国家现代农业示范区"	"http://www.nmg.xinhuanet.com/nmgtzq/travel/"
"27"	"内蒙古自治区包头市九原区国家现代农业示范区"	"http://www.btjy.gov.cn/"
"28"	"辽宁省辽中县国家现代农业示范区"	"http://www.lznyw.net/index.php"
"29"	"辽宁省台安县国家现代农业示范区"	"http://www.lntaian.gov.cn/"
"30"	"辽宁省沈阳市于洪区国家现代农业示范区"	"http://www.yhxdnysf.com/"
"31"	"辽宁省海城市国家现代农业示范区"	"http://www.haicheng.gov.cn/index.asp"
"32"	"辽宁省开原市国家现代农业示范区"	"http://www.lnky.gov.cn/index.html"
