"id"	"省份"	"城市"	"区县"	"省份编码"	"城市编码"	"区县编码"	"别名"	"面源坐标"	"绝对地址"
"1"	"北京市"	"北京市"	"北京市"	"0"	"0"	"110000"	"0"	"39.445587,115.430282;41.067187,117.513171"	"北京市西城区"
"2"	"北京市"	"北京市"	"朝阳区"	"110000"	"110100"	"110105"	"0"	"39.815293,116.357718;40.114438,116.651643"	"北京市朝阳区"
"3"	"北京市"	"北京市"	"海淀区"	"110000"	"110100"	"110108"	"0"	"39.892937,116.056474;40.167109,116.401464"	"北京市海淀区"
"4"	"北京市"	"北京市"	"房山区"	"110000"	"110100"	"110111"	"0"	"39.513389,115.443016;39.931911,116.261125"	"北京市房山区"
"5"	"北京市"	"北京市"	"顺义区"	"110000"	"110100"	"110113"	"0"	"40.013468,116.471498;40.318151,116.990826"	"北京市顺义区"
"6"	"北京市"	"北京市"	"大兴区"	"110000"	"110100"	"110115"	"0"	"39.445587,116.222425;39.836260,116.735224"	"北京市大兴区"
"7"	"北京市"	"北京市"	"昌平区"	"110000"	"110100"	"110114"	"0"	"40.042853,115.850978;40.398024,116.516455"	"北京市昌平区"
"8"	"北京市"	"北京市"	"密云区"	"110000"	"110100"	"110118"	"密云县"	"40.226207,116.672278;40.807194,117.521053"	"北京市密云县"
"9"	"北京市"	"北京市"	"延庆区"	"110000"	"110100"	"110119"	"延庆县"	"40.271765,115.743100;40.798144,116.580666"	"北京市延庆县"
"10"	"北京市"	"北京市"	"平谷区"	"110000"	"110100"	"110117"	"0"	"40.038476,116.936745;40.383987,117.413853"	"北京市平谷区"
"11"	"北京市"	"北京市"	"丰台区"	"110000"	"110100"	"110106"	"0"	"39.768454,116.060452;39.903071,116.472870"	"北京市丰台区"
"12"	"北京市"	"北京市"	"东城区"	"110000"	"110100"	"110101"	"0"	"39.865175,116.387621;39.979667,116.457497"	"北京市东城区"
"13"	"北京市"	"北京市"	"怀柔区"	"110000"	"110100"	"110116"	"0"	"40.240499,116.291037;41.067187,116.892819"	"北京市怀柔区"
"14"	"北京市"	"北京市"	"通州区"	"110000"	"110100"	"110112"	"0"	"39.600158,116.525359;40.037569,116.958916"	"北京市通州区"
"15"	"北京市"	"北京市"	"西城区"	"110000"	"110100"	"110102"	"0"	"39.874660,116.327742;39.979365,116.406024"	"北京市西城区"
"16"	"北京市"	"北京市"	"门头沟区"	"110000"	"110100"	"110109"	"0"	"39.819741,115.430282;40.184750,116.182703"	"北京市门头沟区"
"17"	"北京市"	"北京市"	"石景山区"	"110000"	"110100"	"110107"	"0"	"39.880066,116.118878;39.999989,116.265713"	"北京市石景山区"
"18"	"天津市"	"天津市"	"天津市"	"0"	"0"	"120000"	"0"	"38.561387,116.714568;40.259142,118.075807"	"天津市河北区"
"19"	"天津市"	"天津市"	"武清区"	"120000"	"120100"	"120114"	"0"	"39.123542,116.791633;39.712619,117.345398"	"天津市武清区"
"20"	"天津市"	"天津市"	"蓟州区"	"120000"	"120100"	"120119"	"蓟县"	"39.760690,117.145584;40.257312,117.795100"	"天津市蓟县"
"21"	"天津市"	"天津市"	"宝坻区"	"120000"	"120100"	"120115"	"0"	"39.352519,117.149753;39.841021,117.716503"	"天津市宝坻区"
"22"	"天津市"	"天津市"	"滨海新区"	"120000"	"120100"	"120116"	"0"	"38.561387,117.140446;39.340241,118.075807"	"天津市滨海新区"
"23"	"天津市"	"天津市"	"静海区"	"120000"	"120100"	"120118"	"静海县"	"38.594301,116.713316;39.079886,117.260334"	"天津市静海县"
"24"	"天津市"	"天津市"	"宁河区"	"120000"	"120100"	"120117"	"宁河县"	"39.172234,117.324590;39.607923,117.937882"	"天津市宁河县"
"25"	"天津市"	"天津市"	"北辰区"	"120000"	"120100"	"120113"	"0"	"39.157899,116.947294;39.363863,117.416742"	"天津市北辰区"
"26"	"天津市"	"天津市"	"河西区"	"120000"	"120100"	"120103"	"0"	"39.049427,117.185876;39.123672,117.298880"	"天津市河西区"
"27"	"天津市"	"天津市"	"河东区"	"120000"	"120100"	"120102"	"0"	"39.085833,117.210084;39.167654,117.317887"	"天津市河东区"
"28"	"天津市"	"天津市"	"南开区"	"120000"	"120100"	"120104"	"0"	"39.066286,117.117066;39.158542,117.201514"	"天津市南开区"
"29"	"天津市"	"天津市"	"东丽区"	"120000"	"120100"	"120110"	"0"	"39.001571,117.239993;39.254259,117.575308"	"天津市东丽区"
"30"	"天津市"	"天津市"	"红桥区"	"120000"	"120100"	"120106"	"0"	"39.147160,117.133284;39.197884,117.201028"	"天津市红桥区"
"31"	"天津市"	"天津市"	"河北区"	"120000"	"120100"	"120105"	"0"	"39.136320,117.174415;39.199408,117.267327"	"天津市河北区"
"32"	"天津市"	"天津市"	"西青区"	"120000"	"120100"	"120111"	"0"	"38.829429,116.888255;39.182517,117.351636"	"天津市西青区"
"33"	"天津市"	"天津市"	"津南区"	"120000"	"120100"	"120112"	"0"	"38.849734,117.237960;39.083011,117.566808"	"天津市津南区"
"34"	"天津市"	"天津市"	"和平区"	"120000"	"120100"	"120101"	"0"	"39.106778,117.186050;39.142762,117.228732"	"天津市和平区"
"35"	"河北省"	"河北省"	"河北省"	"0"	"0"	"130000"	"0"	"36.054810,113.468876;42.623953,119.869576"	"河北省保定市蠡县"
"36"	"河北省"	"石家庄市"	"石家庄市"	"130000"	"0"	"130100"	"0"	"37.444982,113.529109;38.770419,115.490061"	"河北省石家庄市长安区"
"37"	"河北省"	"石家庄市"	"平山县"	"130000"	"130100"	"130131"	"0"	"38.162263,113.529109;38.770419,114.293709"	"河北省石家庄市平山县"
"38"	"河北省"	"石家庄市"	"井陉县"	"130000"	"130100"	"130121"	"0"	"37.699479,113.816619;38.222012,114.309011"	"河北省石家庄市井陉县"
"39"	"河北省"	"石家庄市"	"桥西区"	"130000"	"130100"	"130104"	"0"	"37.977848,114.383765;38.078743,114.497290"	"河北省石家庄市桥西区"
"40"	"河北省"	"石家庄市"	"元氏县"	"130000"	"130100"	"130132"	"0"	"37.678169,114.188162;37.933826,114.648988"	"河北省石家庄市元氏县"
"41"	"河北省"	"石家庄市"	"长安区"	"130000"	"130100"	"130102"	"0"	"38.041630,114.517705;38.133347,114.712801"	"河北省石家庄市长安区"
"42"	"河北省"	"石家庄市"	"辛集市"	"130000"	"130100"	"130181"	"0"	"37.641954,115.131051;38.137930,115.490061"	"河北省石家庄市辛集市"
"43"	"河北省"	"石家庄市"	"藁城区"	"130000"	"130100"	"130109"	"藁城市"	"37.862756,114.664510;38.315517,114.991682"	"河北省石家庄市藁城市"
"44"	"河北省"	"石家庄市"	"灵寿县"	"130000"	"130100"	"130126"	"0"	"38.246952,113.841137;38.758283,114.494422"	"河北省石家庄市灵寿县"
"45"	"河北省"	"石家庄市"	"行唐县"	"130000"	"130100"	"130125"	"0"	"38.355821,114.178847;38.717663,114.702920"	"河北省石家庄市行唐县"
"46"	"河北省"	"石家庄市"	"新华区"	"130000"	"130100"	"130105"	"0"	"38.049815,114.381801;38.175235,114.511353"	"河北省石家庄市新华区"
"47"	"河北省"	"石家庄市"	"鹿泉区"	"130000"	"130100"	"130110"	"鹿泉市"	"37.892929,114.196426;38.286475,114.518212"	"河北省石家庄市鹿泉市"
"48"	"河北省"	"石家庄市"	"裕华区"	"130000"	"130100"	"130108"	"0"	"37.971794,114.496401;38.064906,114.688287"	"河北省石家庄市裕华区"
"49"	"河北省"	"石家庄市"	"新乐市"	"130000"	"130100"	"130184"	"0"	"38.259173,114.516221;38.500856,114.945201"	"河北省石家庄市新乐市"
"50"	"河北省"	"石家庄市"	"赵县"	"130000"	"130100"	"130133"	"0"	"37.624263,114.621169;37.893856,115.093509"	"河北省石家庄市赵县"
"51"	"河北省"	"石家庄市"	"赞皇县"	"130000"	"130100"	"130129"	"0"	"37.444982,114.037082;37.776807,114.530716"	"河北省石家庄市赞皇县"
"52"	"河北省"	"石家庄市"	"无极县"	"130000"	"130100"	"130130"	"0"	"38.050063,114.792924;38.294880,115.147747"	"河北省石家庄市无极县"
"53"	"河北省"	"石家庄市"	"晋州市"	"130000"	"130100"	"130183"	"0"	"37.796354,114.971903;38.167643,115.223941"	"河北省石家庄市晋州市"
"54"	"河北省"	"石家庄市"	"正定县"	"130000"	"130100"	"130123"	"0"	"38.108827,114.397455;38.362811,114.727701"	"河北省石家庄市正定县"
"55"	"河北省"	"石家庄市"	"栾城区"	"130000"	"130100"	"130111"	"栾城县"	"37.801161,114.489223;38.025238,114.806283"	"河北省石家庄市栾城县"
"56"	"河北省"	"石家庄市"	"深泽县"	"130000"	"130100"	"130128"	"0"	"38.120614,115.092632;38.300916,115.373787"	"河北省石家庄市深泽县"
"57"	"河北省"	"石家庄市"	"高邑县"	"130000"	"130100"	"130127"	"0"	"37.554609,114.475433;37.700268,114.736443"	"河北省石家庄市高邑县"
"58"	"河北省"	"石家庄市"	"井陉矿区"	"130000"	"130100"	"130107"	"0"	"38.029744,113.994254;38.141720,114.115822"	"河北省石家庄市井陉矿区"
"59"	"河北省"	"唐山市"	"唐山市"	"130000"	"0"	"130200"	"0"	"38.906299,117.518529;40.470853,119.455116"	"河北省唐山市路北区"
"60"	"河北省"	"唐山市"	"遵化市"	"130000"	"130200"	"130281"	"0"	"39.928099,117.579670;40.361727,118.241327"	"河北省唐山市遵化市"
"61"	"河北省"	"唐山市"	"丰润区"	"130000"	"130200"	"130208"	"0"	"39.548145,117.767712;40.072360,118.367217"	"河北省唐山市丰润区"
"62"	"河北省"	"唐山市"	"玉田县"	"130000"	"130200"	"130229"	"0"	"39.536616,117.518529;40.004644,117.959312"	"河北省唐山市玉田县"
"63"	"河北省"	"唐山市"	"迁安市"	"130000"	"130200"	"130283"	"0"	"39.855659,118.453628;40.259283,118.944196"	"河北省唐山市迁安市"
"64"	"河北省"	"唐山市"	"迁西县"	"130000"	"130200"	"130227"	"0"	"39.962782,118.128507;40.470853,118.626489"	"河北省唐山市迁西县"
"65"	"河北省"	"唐山市"	"滦南县"	"130000"	"130200"	"130224"	"0"	"38.906299,118.074274;39.651739,118.891464"	"河北省唐山市滦南县"
"66"	"河北省"	"唐山市"	"曹妃甸区"	"130000"	"130200"	"130209"	"唐海县"	"38.910191,118.146259;39.455962,118.738606"	"河北省唐山市曹妃甸区"
"67"	"河北省"	"唐山市"	"丰南区"	"130000"	"130200"	"130207"	"0"	"39.193870,117.809190;39.664365,118.445912"	"河北省唐山市丰南区"
"68"	"河北省"	"唐山市"	"乐亭县"	"130000"	"130200"	"130225"	"0"	"39.028478,118.694031;39.580199,119.455116"	"河北省唐山市乐亭县"
"69"	"河北省"	"唐山市"	"滦县"	"130000"	"130200"	"130223"	"0"	"39.588803,118.248069;39.980516,118.840628"	"河北省唐山市滦县"
"70"	"河北省"	"唐山市"	"路北区"	"130000"	"130200"	"130203"	"0"	"39.672250,118.217167;39.677457,118.228396"	"河北省唐山市路北区"
"71"	"河北省"	"唐山市"	"路南区"	"130000"	"130200"	"130202"	"0"	"39.563280,118.139272;39.640006,118.248300"	"河北省唐山市路南区"
"72"	"河北省"	"唐山市"	"开平区"	"130000"	"130200"	"130205"	"0"	"39.570610,118.175140;39.809849,118.391750"	"河北省唐山市开平区"
"73"	"河北省"	"唐山市"	"古冶区"	"130000"	"130200"	"130204"	"0"	"39.584202,118.328592;39.826440,118.580682"	"河北省唐山市古冶区"
"74"	"河北省"	"秦皇岛市"	"秦皇岛市"	"130000"	"0"	"130300"	"0"	"39.435315,118.574833;40.619199,119.869576"	"河北省秦皇岛市海港区"
"75"	"河北省"	"秦皇岛市"	"青龙满族自治县"	"130000"	"130300"	"130321"	"0"	"40.086719,118.574833;40.619199,119.619328"	"河北省秦皇岛市青龙满族自治县"
"76"	"河北省"	"秦皇岛市"	"海港区"	"130000"	"130300"	"130302"	"0"	"39.773044,119.460221;40.084094,119.765389"	"河北省秦皇岛市海港区"
"77"	"河北省"	"秦皇岛市"	"昌黎县"	"130000"	"130300"	"130322"	"0"	"39.435315,118.770951;39.811186,119.494398"	"河北省秦皇岛市昌黎县"
"78"	"河北省"	"秦皇岛市"	"卢龙县"	"130000"	"130300"	"130324"	"0"	"39.720125,118.791798;40.149238,119.152165"	"河北省秦皇岛市卢龙县"
"79"	"河北省"	"秦皇岛市"	"抚宁区"	"130000"	"130300"	"130306"	"抚宁县"	"39.648601,119.086051;40.172105,119.594020"	"河北省秦皇岛市抚宁县"
"80"	"河北省"	"秦皇岛市"	"山海关区"	"130000"	"130300"	"130303"	"0"	"39.852067,119.621245;40.117553,119.869576"	"河北省秦皇岛市山海关区"
"81"	"河北省"	"秦皇岛市"	"北戴河区"	"130000"	"130300"	"130304"	"0"	"39.721243,119.412984;39.897265,119.660067"	"河北省秦皇岛市北戴河区"
